media_id,url,name,pub_country,pub_state,language,about_country,media_type,public_notes,editor_notes,stories_per_day,first_story
"40837","http://www.96fm.ie/","96fm","IRL","IE-CO","en","Ontario","video_broadcast","","","0.11","2013-05-27"
"41424","http://www.anglocelt.ie/","anglocelt","IRL","IE-CN","en","Ireland","print_native","","","0.08","2013-05-27"
"110411","http://anphoblacht.com/","anphoblacht.com","IRL","IE-D","en","none","print_native","","","0.4","2016-08-08"
"653321","http://www.independent.ie/regionals/argus/","Argus - Ireland","IRL","IE-LH","en","Ireland","print_native","","","3.64","2017-11-27"
"656458","http://www.advertiser.ie/athlone","Athlone Advertiser","IRL","IE-WH","en","","print_native","","","0.07","2017-12-11"
"558481","http://avondhupress.ie/","avondhupress.ie","IRL","IE-CO","en","Ireland","print_native","","","3.29","2017-12-11"
"656471","http://www.independent.ie/regionals/braypeople/","Bray People","IRL","IE-WW","en","Ireland","print_native","","","3.93","2017-12-04"
"22049","http://www.businesspost.ie","businesspost.ie","IRL","IE-D","en","Ireland","print_native","","","0.04","2012-01-09"
"39335","http://www.carlow-nationalist.ie/","carlow-nationalist","IRL","IE-CW","en","none","print_native","","","28.84","2013-03-18"
"39065","http://www.clare.fm","clare","IRL","IE-CE","en","Ireland","video_broadcast","","","17.89","2017-07-17"
"656428","http://www.clarecourier.ie/","Clare Courier","IRL","IE-CE","en","Ireland","print_native","","","0.0","2017-12-04"
"38980","http://www.clarechampion.ie/","clarechampion","IRL","IE-CE","en","Ireland","print_native","","","2.22","2013-03-11"
"39961","http://www.con-telegraph.ie/","con-telegraph","IRL","IE-MO","en","Ireland","print_native","","","0.08","2013-01-21"
"524328","http://connachttribune.ie/","connachttribune.ie","IRL","IE-G","en","Ireland","print_native","","","3.12","2017-12-04"
"135206","http://corkindependent.com/","corkindependent.com","IRL","IE-CO","en","","print_native","","","0.07","2017-12-04"
"656431","http://www.independent.ie/regionals/corkman/","Corkman","IRL","IE-CO","en","Ireland","print_native","","","3.54","2017-12-04"
"40409","http://www.donegaldemocrat.ie/","donegaldemocrat","IRL","IE-DL","en","Ireland","print_native","","","16.72","2017-12-04"
"570701","http://donegalnews.com/","donegalnews.com","IRL","IE-DL","en","","print_native","","","0.07","2011-09-12"
"656451","http://www.independent.ie/regionals/droghedaindependent/","Drogheda Independent","IRL","IE-MH","en","Ireland","print_native","","","4.08","2017-11-27"
"42070","http://www.dublinpeople.com/","dublinpeople","IRL","IE-D","en","Ireland","print_native","","","0.06","2013-06-17"
"656460","http://www.independent.ie/regionals/enniscorthyguardian/","Enniscorthy Guardian","IRL","IE-WX","en","Ireland","print_native","","","2.28","2017-12-04"
"108035","http://eveningecho.ie/","eveningecho.ie","IRL","IE-D","en","","print_native","","","0.07","2017-05-08"
"656441","http://www.independent.ie/regionals/fingalindependent/","Fingal Independent","IRL","IE-D","en","Ireland","print_native","","","3.73","2017-11-27"
"623553","http://www.foinse.ie/","Foinse","IRL","IE-G","ga","","print_native","","","0.0","2018-03-26"
"656442","http://www.advertiser.ie/galway","Galway Advertiser","IRL","IE-G","en","","print_native","","","0.07","2017-12-04"
"656462","http://www.independent.ie/regionals/goreyguardian/","Gorey Guardian","IRL","IE-WX","en","Ireland","print_native","","","3.7","2017-12-04"
"651242","http://www.nenaghguardian.ie/","Guardian - Ireland","IRL","IE-TA","en","","print_native","","","0.07","2017-08-07"
"41177","http://www.herald.ie/","herald-ie","IRL","IE-D","en","none","print_native","","","15.62","2013-03-18"
"300246","http://www.decisionireland.com/","Host Ireland Business Broadband","IRL","","en","","print_native","","","0.04","2015-12-14"
